16786,20698,16437,15779,16246,15972,15752,15957,15765,16011,15710,15833,15601,15867,15660,16023,15688,15850,15684,15889,15900,15692,15874,15643,16178,15635,16054,15599,16058,15709,15986,12149,15736,15744,15713,15715,15708,15653,15608,15645,15691,15655,15705,15686,15655,15643,15660,15637,15623,15678,15711,15648,15642,15737,15700,15745,15699,15761,15734,15697,15715,15778,15711,15699,0,30
16759,17084,16401,15772,16229,15976,15750,15960,15747,15987,15695,15850,15558,15845,15627,16029,15697,15849,15661,15868,15920,15683,15883,15637,16224,15597,16050,15575,16047,15689,15995,12146,15728,15740,15723,15706,15718,15636,15602,15639,15662,15649,15700,15692,15622,15645,15663,15640,15609,15699,15744,15630,15639,15739,15694,15745,15713,15762,15729,15677,15735,15751,15711,15701,0,25
16793,16736,16442,15750,16236,15999,15745,15975,15737,16001,15683,15859,15577,15891,15650,16055,15691,15876,15674,15891,15952,15667,15891,15640,16235,15603,16047,15591,16045,15662,16009,12141,15704,15760,15719,15719,15714,15661,15628,15642,15681,15656,15734,15711,15654,15679,15678,15675,15645,15716,15726,15659,15667,15758,15698,15755,15701,15778,15747,15704,15749,15791,15718,15720,0,195
16756,17035,16420,15735,16213,15962,15721,15943,15708,15971,15661,15858,15556,15850,15602,16028,15658,15839,15636,15900,15892,15642,15864,15605,16210,15568,16041,15543,16023,15622,15970,12142,15696,15727,15696,15686,15679,15647,15596,15621,15662,15639,15703,15685,15631,15642,15644,15663,15616,15683,15731,15639,15625,15715,15684,15734,15686,15753,15733,15677,15730,15749,15712,15692,0,41
16756,17730,16410,15731,16207,15961,15720,15952,15746,15981,15667,15809,15537,15833,15653,16014,15668,15841,15638,15863,15903,15664,15852,15624,16197,15575,16027,15538,16031,15637,15945,12143,15729,15715,15704,15678,15707,15625,15577,15617,15651,15630,15686,15689,15620,15642,15632,15652,15597,15676,15720,15617,15641,15709,15676,15721,15676,15750,15716,15662,15721,15748,15698,15682,0,102
16736,18872,16412,15710,16223,15955,15702,15953,15707,15981,15645,15833,15552,15841,15593,16008,15665,15848,15621,15881,15878,15624,15871,15582,16222,15586,16031,15564,16018,15629,15972,12141,15712,15707,15721,15684,15665,15637,15584,15624,15636,15625,15691,15668,15622,15636,15660,15650,15588,15683,15726,15617,15626,15734,15686,15726,15702,15744,15740,15681,15724,15753,15696,15682,0,24
16718,20436,16423,15691,16215,15958,15681,15932,15666,15967,15632,15825,15510,15841,15598,16000,15635,15829,15608,15877,15866,15610,15842,15581,16200,15531,16016,15488,16019,15624,15954,12145,15718,15697,15712,15689,15694,15635,15574,15649,15634,15637,15693,15704,15616,15648,15635,15647,15612,15687,15730,15624,15648,15718,15684,15715,15691,15743,15727,15671,15731,15743,15703,15685,0,123
16730,22309,16407,15729,16228,15960,15729,15925,15718,15976,15657,15850,15545,15836,15633,16017,15690,15844,15642,15877,15902,15625,15862,15629,16207,15592,16041,15560,16027,15661,15951,12145,15711,15685,15714,15680,15694,15648,15568,15637,15638,15627,15696,15690,15621,15649,15646,15656,15589,15678,15727,15613,15640,15724,15682,15722,15681,15739,15740,15665,15734,15743,15708,15682,0,115
16731,24402,16409,15714,16227,15958,15721,15955,15707,15975,15660,15858,15548,15832,15636,16015,15681,15834,15643,15858,15901,15641,15881,15612,16216,15573,16034,15556,16038,15623,15973,12142,15718,15694,15721,15690,15672,15634,15575,15626,15644,15646,15676,15677,15634,15646,15656,15655,15592,15685,15719,15622,15633,15720,15681,15715,15696,15750,15733,15683,15723,15756,15712,15699,0,6
16742,26364,16392,15726,16217,15973,15713,15938,15694,15965,15653,15843,15531,15836,15584,16016,15676,15822,15626,15864,15898,15631,15860,15614,16213,15558,16020,15557,16027,15615,15955,12139,15707,15705,15708,15685,15691,15627,15577,15622,15655,15639,15691,15701,15624,15634,15650,15643,15592,15697,15737,15620,15635,15703,15691,15714,15683,15747,15735,15661,15725,15750,15706,15686,0,123
